pdb,path,url,protein,virus,method,resolution,rmsd,rwork,rfree
6kzp,../pdb\human_interaction_partners\TCP2\6kzp,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6kzp,..,pdb\human_interaction_partners\TCP2,ELECTRON MICROSCOPY,0,3.1,,,
6n4i,../pdb\human_interaction_partners\TCP2\6n4i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6n4i,..,pdb\human_interaction_partners\TCP2,X-RAY DIFFRACTION,0,3.5,,0.2745,0.2942
6n4q,../pdb\human_interaction_partners\TCP2\6n4q,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6n4q,..,pdb\human_interaction_partners\TCP2,ELECTRON MICROSCOPY,0,3.6,,,
6n4r,../pdb\human_interaction_partners\TCP2\6n4r,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6n4r,..,pdb\human_interaction_partners\TCP2,ELECTRON MICROSCOPY,0,4.2,,,
6nq0,../pdb\human_interaction_partners\TCP2\6nq0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6nq0,..,pdb\human_interaction_partners\TCP2,ELECTRON MICROSCOPY,0,3.7,,,
6nq1,../pdb\human_interaction_partners\TCP2\6nq1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6nq1,..,pdb\human_interaction_partners\TCP2,ELECTRON MICROSCOPY,0,3.5,,,
6nq2,../pdb\human_interaction_partners\TCP2\6nq2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6nq2,..,pdb\human_interaction_partners\TCP2,ELECTRON MICROSCOPY,0,3.4,,,
6nt3,../pdb\human_interaction_partners\TCP2\6nt3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6nt3,..,pdb\human_interaction_partners\TCP2,ELECTRON MICROSCOPY,0,3.4,,,
6nt4,../pdb\human_interaction_partners\TCP2\6nt4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6nt4,..,pdb\human_interaction_partners\TCP2,ELECTRON MICROSCOPY,0,3.5,,,
7d7t,../pdb\nsp3\SARS-CoV-2\7d7t,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\nsp3\SARS-CoV-2\7d7t,..,pdb\nsp3\SARS-CoV-2,X-RAY DIFFRACTION,0,3.15,,0.2459,0.3127
7lfz,../pdb\human_interaction_partners\Beta-2 microglobulin\7lfz,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Beta-2 microglobulin\7lfz,..,pdb\human_interaction_partners\Beta-2 microglobulin,X-RAY DIFFRACTION,0,1.9,,0.1807,0.2239
1xak,pdb/hypothetical_protein_sars7a/SARS-CoV/1xak,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/hypothetical_protein_sars7a/SARS-CoV/1xak,hypothetical_protein_sars7a,SARS-CoV,X-RAY DIFFRACTION,1,1.8,,0.223,0.275
8ctk,pdb/membrane_glycoprotein/SARS-CoV-2/8ctk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/membrane_glycoprotein/SARS-CoV-2/8ctk,membrane_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.52,,,
3to2,pdb/membrane_glycoprotein/SARS-CoV/3to2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/membrane_glycoprotein/SARS-CoV/3to2,membrane_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,2.6,,0.1934,0.2304
3i6k,pdb/membrane_glycoprotein/SARS-CoV/3i6k,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/membrane_glycoprotein/SARS-CoV/3i6k,membrane_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,2.75,,0.1975,0.2435
7vgs,pdb/membrane_glycoprotein/SARS-CoV-2/7vgs,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/membrane_glycoprotein/SARS-CoV-2/7vgs,membrane_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.8,,,
7vgr,pdb/membrane_glycoprotein/SARS-CoV-2/7vgr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/membrane_glycoprotein/SARS-CoV-2/7vgr,membrane_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.7,,,
7f8l,pdb/not_assigned/SARS-CoV/7f8l,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/not_assigned/SARS-CoV/7f8l,not_assigned,SARS-CoV,X-RAY DIFFRACTION,0,1.76,,0.1814,0.226
7skz,pdb/not_assigned/SARS-CoV-2/7skz,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/not_assigned/SARS-CoV-2/7skz,not_assigned,SARS-CoV-2,,0,,,,
7sl5,pdb/not_assigned/SARS-CoV-2/7sl5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/not_assigned/SARS-CoV-2/7sl5,not_assigned,SARS-CoV-2,,0,,,,
2gdt,pdb/leader_protein/SARS-CoV/2gdt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV/2gdt,nsp1 / leader_protein,SARS-CoV,SOLUTION NMR,0,,,,
2hsx,pdb/leader_protein/SARS-CoV/2hsx,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV/2hsx,nsp1 / leader_protein,SARS-CoV,SOLUTION NMR,0,,,,
6zlw,pdb/leader_protein/SARS-CoV-2/6zlw,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zlw,nsp1 / leader_protein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.6,,,
6zm7,pdb/leader_protein/SARS-CoV-2/6zm7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zm7,nsp1 / leader_protein,SARS-CoV-2,ELECTRON MICROSCOPY,1,2.7,,,
6zme,pdb/leader_protein/SARS-CoV-2/6zme,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zme,nsp1 / leader_protein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.0,,,
6zmi,pdb/leader_protein/SARS-CoV-2/6zmi,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zmi,nsp1 / leader_protein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.6,,,
6zmo,pdb/leader_protein/SARS-CoV-2/6zmo,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zmo,nsp1 / leader_protein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.1,,,
6zmt,pdb/leader_protein/SARS-CoV-2/6zmt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zmt,nsp1 / leader_protein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.0,,,
6zn5,pdb/leader_protein/SARS-CoV-2/6zn5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zn5,nsp1 / leader_protein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.2,,,
6zoj,pdb/leader_protein/SARS-CoV-2/6zoj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zoj,nsp1 / leader_protein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.8,,,
6zok,pdb/leader_protein/SARS-CoV-2/6zok,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zok,nsp1 / leader_protein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.8,,,
6zon,pdb/leader_protein/SARS-CoV-2/6zon,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zon,nsp1 / leader_protein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.0,,,
6zp4,pdb/leader_protein/SARS-CoV-2/6zp4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zp4,nsp1 / leader_protein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.9,,,
7k3n,pdb/leader_protein/SARS-CoV-2/7k3n,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/7k3n,nsp1 / leader_protein,SARS-CoV-2,X-RAY DIFFRACTION,0,1.65,,0.203,0.2482
7k5i,pdb/leader_protein/SARS-CoV-2/7k5i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/7k5i,nsp1 / leader_protein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.9,,,
7k7p,pdb/leader_protein/SARS-CoV-2/7k7p,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/7k7p,nsp1 / leader_protein,SARS-CoV-2,X-RAY DIFFRACTION,0,1.77,,0.1884,0.2165
6zol,pdb/leader_protein/SARS-CoV-2/6zol,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zol,nsp1 / leader_protein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.8,,,
7jqb,pdb/leader_protein/SARS-CoV-2/7jqb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/7jqb,nsp1 / leader_protein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.7,,,
7jqc,pdb/leader_protein/SARS-CoV-2/7jqc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/7jqc,nsp1 / leader_protein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.3,,,
7opl,pdb/leader_protein/SARS-CoV/7opl,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV/7opl,nsp1 / leader_protein,SARS-CoV,ELECTRON MICROSCOPY,0,4.12,,,
7eq4,pdb/leader_protein/SARS-CoV-2/7eq4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/7eq4,nsp1 / leader_protein,SARS-CoV-2,X-RAY DIFFRACTION,0,1.15,,0.1633,0.1972
6yz1,pdb/nsp10/SARS-CoV-2/6yz1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp10/SARS-CoV-2/6yz1,nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,2.4,,0.1866,0.2256
7bq7,pdb/nsp10/SARS-CoV-2/7bq7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp10/SARS-CoV-2/7bq7,nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,2.37,,0.1798,0.2085
7c2i,pdb/nsp10/SARS-CoV-2/7c2i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp10/SARS-CoV-2/7c2i,nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,2.5,,0.174,0.2088
7c2j,pdb/nsp10/SARS-CoV-2/7c2j,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp10/SARS-CoV-2/7c2j,nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,2.79,,0.2021,0.2349
2fyg,pdb/nsp10/SARS-CoV/2fyg,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp10/SARS-CoV/2fyg,nsp10,SARS-CoV,X-RAY DIFFRACTION,0,1.8,,0.19577,0.23295
2g9t,pdb/nsp10/SARS-CoV/2g9t,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp10/SARS-CoV/2g9t,nsp10,SARS-CoV,X-RAY DIFFRACTION,0,2.1,,0.217,0.247
2ga6,pdb/nsp10/SARS-CoV/2ga6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp10/SARS-CoV/2ga6,nsp10,SARS-CoV,X-RAY DIFFRACTION,0,2.7,,0.219,0.267
6zct,pdb/nsp10/SARS-CoV-2/6zct,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp10/SARS-CoV-2/6zct,nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,2.55,,0.1895,0.1946
6zpe,pdb/nsp10/SARS-CoV-2/6zpe,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp10/SARS-CoV-2/6zpe,nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,1.58,,0.1515,0.1598
7orv,pdb/nsp10/SARS-CoV-2/7orv,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp10/SARS-CoV-2/7orv,nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,1.95,,0.1703,0.202
7orw,pdb/nsp10/SARS-CoV-2/7orw,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp10/SARS-CoV-2/7orw,nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,1.95,,0.1745,0.2086
7orr,pdb/nsp10/SARS-CoV-2/7orr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp10/SARS-CoV-2/7orr,nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,1.79,,0.1715,0.1844
7oru,pdb/nsp10/SARS-CoV-2/7oru,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp10/SARS-CoV-2/7oru,nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,1.67,,0.1605,0.1717
7x6z,pdb/rna_polymerase/SARS-CoV-2/7x6z,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/rna_polymerase/SARS-CoV-2/7x6z,nsp12 / rna_polymerase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.43,,0.1434,0.1722
6jyt,pdb/helicase/SARS-CoV/6jyt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV/6jyt,nsp13 / helicase,SARS-CoV,X-RAY DIFFRACTION,1,2.69,,0.2375,0.2925
5rl6,pdb/helicase/SARS-CoV-2/5rl6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rl6,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.92,,0.1782,0.2495
5rl7,pdb/helicase/SARS-CoV-2/5rl7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rl7,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.89,,0.2268,0.269
5rl8,pdb/helicase/SARS-CoV-2/5rl8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rl8,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.21,,0.2094,0.2695
5rl9,pdb/helicase/SARS-CoV-2/5rl9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rl9,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.79,,0.177,0.2314
5rlb,pdb/helicase/SARS-CoV-2/5rlb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rlb,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.98,,0.214,0.2619
5rlc,pdb/helicase/SARS-CoV-2/5rlc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rlc,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.92,,0.206,0.2522
5rld,pdb/helicase/SARS-CoV-2/5rld,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rld,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.23,,0.1662,0.2696
5rle,pdb/helicase/SARS-CoV-2/5rle,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rle,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.27,,0.1514,0.2616
5rlf,pdb/helicase/SARS-CoV-2/5rlf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rlf,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.24,,0.1607,0.2539
5rlg,pdb/helicase/SARS-CoV-2/5rlg,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rlg,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.96,,0.2458,0.2859
5rlh,pdb/helicase/SARS-CoV-2/5rlh,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rlh,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.38,,0.1561,0.2508
5rli,pdb/helicase/SARS-CoV-2/5rli,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rli,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.25,,0.1967,0.2681
5rlj,pdb/helicase/SARS-CoV-2/5rlj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rlj,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.88,,0.173,0.228
5rlk,pdb/helicase/SARS-CoV-2/5rlk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rlk,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.95,,0.1725,0.2397
5rll,pdb/helicase/SARS-CoV-2/5rll,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rll,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.08,,0.2154,0.2673
5rlm,pdb/helicase/SARS-CoV-2/5rlm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rlm,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.86,,0.1728,0.2367
5rln,pdb/helicase/SARS-CoV-2/5rln,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rln,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.15,,0.1741,0.2584
5rlo,pdb/helicase/SARS-CoV-2/5rlo,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rlo,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.1,,0.1671,0.2428
5rlp,pdb/helicase/SARS-CoV-2/5rlp,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rlp,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.56,,0.1412,0.2527
5rlq,pdb/helicase/SARS-CoV-2/5rlq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rlq,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.23,,0.1545,0.2539
5rlr,pdb/helicase/SARS-CoV-2/5rlr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rlr,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.32,,0.2088,0.2826
5rls,pdb/helicase/SARS-CoV-2/5rls,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rls,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.28,,0.1564,0.2541
5rlt,pdb/helicase/SARS-CoV-2/5rlt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rlt,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.43,,0.1508,0.2635
5rlu,pdb/helicase/SARS-CoV-2/5rlu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rlu,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.35,,0.1597,0.2731
5rlv,pdb/helicase/SARS-CoV-2/5rlv,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rlv,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.21,,0.201,0.2596
5rlw,pdb/helicase/SARS-CoV-2/5rlw,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rlw,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.97,,0.1711,0.2372
5rly,pdb/helicase/SARS-CoV-2/5rly,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rly,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.43,,0.1544,0.2605
5rlz,pdb/helicase/SARS-CoV-2/5rlz,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rlz,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.97,,0.2215,0.2734
5rm0,pdb/helicase/SARS-CoV-2/5rm0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rm0,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.91,,0.1678,0.2385
5rm1,pdb/helicase/SARS-CoV-2/5rm1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rm1,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.89,,0.1756,0.234
5rm2,pdb/helicase/SARS-CoV-2/5rm2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rm2,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.82,,0.2305,0.2729
5rm3,pdb/helicase/SARS-CoV-2/5rm3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rm3,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.09,,0.2161,0.274
5rm4,pdb/helicase/SARS-CoV-2/5rm4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rm4,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.96,,0.1679,0.2533
5rm5,pdb/helicase/SARS-CoV-2/5rm5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rm5,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.06,,0.2059,0.2621
5rm6,pdb/helicase/SARS-CoV-2/5rm6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rm6,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.13,,0.1622,0.2511
5rm7,pdb/helicase/SARS-CoV-2/5rm7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rm7,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.84,,0.2216,0.2686
5rm8,pdb/helicase/SARS-CoV-2/5rm8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rm8,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.14,,0.1669,0.2483
5rm9,pdb/helicase/SARS-CoV-2/5rm9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV-2/5rm9,nsp13 / helicase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.07,,0.1671,0.2543
